provinceID,x,y,province_r,province_g,province_b,owner_r,owner_g,owner_b,owner_name
province_0118,3451,677,53,99,253,159,163,165,Buyeo
province_0119,2963,488,53,100,56,159,163,165,Buyeo
province_0120,2882,61,53,109,249,159,163,165,Buyeo
province_0121,3348,197,53,116,195,159,163,165,Buyeo
province_0122,2539,1553,53,119,232,159,163,165,Buyeo
province_0123,2391,521,53,121,202,168,28,7,Rome
province_0124,3323,790,53,125,102,65,190,187,Unknown4
province_0125,3889,680,53,128,225,222,58,63,Eastern_Han_Empire
province_0126,2982,685,53,138,157,242,175,109,Persia
province_0127,3561,821,53,144,90,185,183,85,Unknown36
province_0128,2750,1217,53,150,248,159,163,165,Buyeo
province_0129,3704,694,53,177,223,222,58,63,Eastern_Han_Empire
province_0130,1162,765,53,179,237,159,163,165,Buyeo
province_0131,2877,1476,53,180,229,159,163,165,Buyeo
province_0132,2440,437,53,184,178,159,163,165,Buyeo
province_0133,3899,1202,53,190,157,159,163,165,Buyeo
province_0134,3689,467,53,205,238,158,211,120,Unknown29
province_0135,1301,676,53,207,144,159,163,165,Buyeo
province_0136,2334,1156,53,215,148,159,163,165,Buyeo
province_0137,1183,714,53,242,173,159,163,165,Buyeo
province_0138,2484,564,53,244,172,168,28,7,Rome
province_0139,4093,1265,53,246,219,159,163,165,Buyeo
province_0140,4067,1287,53,254,112,159,163,165,Buyeo
province_0141,2539,605,54,85,139,168,28,7,Rome
province_0142,2661,492,54,85,172,159,163,165,Buyeo
province_0143,1407,1260,54,101,62,159,163,165,Buyeo
province_0144,1495,1626,54,106,154,159,163,165,Buyeo
province_0145,3739,1226,54,110,180,99,142,47,Unknown_99_142_47
province_0146,2530,527,54,118,138,168,28,7,Rome
province_0147,3151,1517,54,120,136,159,163,165,Buyeo
province_0148,2405,517,54,122,78,168,28,7,Rome
province_0149,3702,887,54,124,181,159,163,165,Buyeo
province_0150,999,760,54,130,116,159,163,165,Buyeo
province_0151,2170,1073,54,130,224,159,163,165,Buyeo
province_0152,2569,418,54,139,155,159,163,165,Buyeo
province_0153,3929,1280,54,148,137,159,163,165,Buyeo
province_0154,2335,586,54,150,199,168,28,7,Rome
province_0155,3395,797,54,157,95,73,116,129,Unknown6
province_0156,2476,445,54,158,250,159,163,165,Buyeo
province_0157,1261,783,54,161,168,159,163,165,Buyeo
province_0158,933,725,54,164,177,159,163,165,Buyeo
province_0159,1461,389,54,170,53,159,163,165,Buyeo
province_0160,1150,689,54,182,193,159,163,165,Buyeo
province_0161,2840,1046,54,191,220,20,125,175,Ethopia
province_0162,2768,1034,54,197,141,159,163,165,Buyeo
province_0163,3856,1780,54,197,187,159,163,165,Buyeo
province_0164,2712,666,54,201,63,168,28,7,Rome
province_0165,919,511,54,202,253,159,163,165,Buyeo
province_0166,2528,462,54,219,132,159,163,165,Buyeo
province_0167,2481,1053,54,227,188,159,163,165,Buyeo
province_0168,4618,1510,54,232,149,159,163,165,Buyeo
province_0169,1248,143,54,236,80,159,163,165,Buyeo
province_0170,1788,1572,54,237,94,159,163,165,Buyeo
province_0171,1943,1578,54,238,209,159,163,165,Buyeo
province_0172,1466,1980,54,247,202,159,163,165,Buyeo
province_0173,2717,1450,54,255,205,159,163,165,Buyeo
province_0174,1798,1306,55,67,96,159,163,165,Buyeo
province_0175,948,554,55,70,235,159,163,165,Buyeo
province_0176,2365,991,55,76,119,159,163,165,Buyeo
province_0177,1117,622,55,82,169,159,163,165,Buyeo
province_0178,3359,780,55,85,219,65,190,187,Unknown4
province_0179,2455,698,55,88,171,168,28,7,Rome
province_0180,3385,1063,55,89,103,215,0,121,Unknown46
province_0181,2615,378,55,96,80,159,163,165,Buyeo
province_0182,1316,717,55,96,153,159,163,165,Buyeo
province_0183,2644,408,55,100,160,159,163,165,Buyeo
province_0184,2518,982,55,100,163,159,163,165,Buyeo
province_0185,2672,1573,55,100,205,159,163,165,Buyeo
province_0186,2984,793,55,104,100,190,85,69,Roman_Clients
province_0187,1419,1163,55,120,152,159,163,165,Buyeo
province_0188,3807,829,55,121,120,222,58,63,Eastern_Han_Empire
province_0189,1255,1254,55,126,91,159,163,165,Buyeo
province_0190,2232,835,55,133,52,159,163,165,Buyeo
province_0191,4297,1555,55,135,57,159,163,165,Buyeo
province_0192,4009,497,55,135,244,159,163,165,Buyeo
province_0193,1260,540,55,140,82,159,163,165,Buyeo
province_0194,2946,446,55,140,130,159,163,165,Buyeo
province_0195,2541,216,55,143,239,159,163,165,Buyeo
province_0196,2234,2355,55,154,72,159,163,165,Buyeo
province_0197,1357,949,55,158,187,159,163,165,Buyeo
province_0198,3663,607,55,161,127,158,211,120,Unknown29
province_0199,2823,741,55,163,157,168,28,7,Rome
province_0200,4072,1473,55,171,90,159,163,165,Buyeo
province_0201,3247,601,55,171,213,65,190,187,Unknown4
province_0202,3908,676,55,200,120,222,58,63,Eastern_Han_Empire
province_0203,2364,536,55,226,51,168,28,7,Rome
province_0204,3169,472,55,230,127,159,163,165,Buyeo
province_0205,2971,646,55,235,63,168,28,7,Rome
province_0206,3593,838,55,244,204,159,163,165,Buyeo
province_0207,4088,708,55,248,209,255,255,0,Japan
province_0208,2275,640,55,248,240,168,28,7,Rome
province_0209,2658,219,55,251,195,159,163,165,Buyeo
province_0210,2908,545,55,252,70,159,163,165,Buyeo
province_0211,1041,538,55,255,95,159,163,165,Buyeo
province_0212,1415,616,56,51,181,159,163,165,Buyeo
province_0213,2566,451,56,60,208,159,163,165,Buyeo
province_0214,2547,1301,56,63,196,159,163,165,Buyeo
province_0215,2970,1504,56,65,132,159,163,165,Buyeo
province_0216,3166,419,56,71,115,159,163,165,Buyeo
province_0217,2781,426,56,75,218,159,163,165,Buyeo
province_0218,2396,1147,56,76,152,159,163,165,Buyeo
province_0219,3998,852,56,82,232,159,163,165,Buyeo
province_0220,2685,1383,56,88,74,159,163,165,Buyeo
province_0221,2894,1085,56,90,124,159,163,165,Buyeo
province_0222,2518,1138,56,98,121,159,163,165,Buyeo
province_0223,4139,1264,56,100,221,159,163,165,Buyeo
province_0224,2736,1718,56,113,237,159,163,165,Buyeo
province_0225,3391,1110,56,115,207,149,154,204,Ceras
province_0226,2488,712,56,117,121,168,28,7,Rome
province_0227,2476,1156,56,122,233,159,163,165,Buyeo
province_0228,2779,791,56,131,162,168,28,7,Rome
province_0229,4632,1560,56,132,127,159,163,165,Buyeo
province_0230,2334,370,56,152,128,159,163,165,Buyeo
province_0231,3403,555,56,185,170,158,211,120,Unknown29
province_0232,3858,815,56,190,85,222,58,63,Eastern_Han_Empire
province_0233,2544,515,56,199,84,168,28,7,Rome
province_0234,2688,1309,56,200,119,159,163,165,Buyeo
province_0235,1371,394,56,209,209,159,163,165,Buyeo
province_0236,1499,2071,56,215,106,159,163,165,Buyeo
province_0237,3063,996,56,216,175,183,207,88,Hadamut
province_0238,1424,1196,56,217,64,159,163,165,Buyeo
province_0239,3026,811,56,237,163,255,197,140,Persia_Clients
province_0240,3827,659,56,243,163,222,58,63,Eastern_Han_Empire
province_0241,2337,729,56,244,223,159,163,165,Buyeo
province_0242,2781,685,56,246,171,168,28,7,Rome
province_0243,3013,1120,56,251,114,159,163,165,Buyeo
province_0244,3970,866,57,56,136,159,163,165,Buyeo
province_0245,2533,1388,57,59,53,159,163,165,Buyeo
province_0246,3307,693,57,78,125,226,114,91,Unknown51
province_0247,1587,181,57,79,152,159,163,165,Buyeo
province_0248,2767,439,57,82,160,159,163,165,Buyeo
province_0249,1620,542,57,102,110,159,163,165,Buyeo
province_0250,2944,706,57,102,172,168,28,7,Rome
province_0251,2664,434,57,107,166,159,163,165,Buyeo
province_0252,2671,503,57,110,69,159,163,165,Buyeo
province_0253,4099,553,57,112,216,159,163,165,Buyeo
province_0254,875,765,57,116,232,159,163,165,Buyeo
province_0255,1877,186,57,124,249,159,163,165,Buyeo
province_0256,2478,1178,57,131,196,159,163,165,Buyeo
province_0257,2937,352,57,143,66,159,163,165,Buyeo
province_0258,3671,998,57,148,212,159,163,165,Buyeo
province_0259,1468,1322,57,161,184,159,163,165,Buyeo
province_0260,2631,498,57,170,92,159,163,165,Buyeo
province_0261,2936,1134,57,171,56,159,163,165,Buyeo
province_0262,3930,859,57,172,157,222,58,63,Eastern_Han_Empire
province_0263,3675,534,57,173,254,158,211,120,Unknown29
province_0264,3965,649,57,185,77,222,58,63,Eastern_Han_Empire
province_0265,2871,670,57,185,246,168,28,7,Rome
province_0266,2629,461,57,197,189,159,163,165,Buyeo
province_0267,4394,1652,57,197,195,159,163,165,Buyeo
province_0268,1584,1359,57,200,90,159,163,165,Buyeo
province_0269,4220,1893,57,202,220,159,163,165,Buyeo
province_0270,2588,1319,57,230,98,159,163,165,Buyeo
province_0271,2264,902,57,240,61,159,163,165,Buyeo
province_0272,2619,350,57,244,76,159,163,165,Buyeo
province_0273,2782,844,57,245,251,168,28,7,Rome
province_0274,1356,603,57,246,77,159,163,165,Buyeo
province_0275,2396,487,57,251,190,168,28,7,Rome
province_0276,2733,512,58,54,205,159,163,165,Buyeo
province_0277,1567,1255,58,56,51,159,163,165,Buyeo
province_0278,1249,899,58,60,106,159,163,165,Buyeo
province_0279,1242,668,58,60,173,159,163,165,Buyeo
province_0280,2381,1136,58,66,94,159,163,165,Buyeo
province_0281,2715,430,58,77,149,159,163,165,Buyeo
province_0282,2664,1426,58,83,181,159,163,165,Buyeo
province_0283,1487,983,58,84,247,159,163,165,Buyeo
province_0284,2838,960,58,90,211,159,163,165,Buyeo
province_0285,3085,828,58,93,190,255,197,140,Persia_Clients
province_0286,2802,397,58,104,64,159,163,165,Buyeo
province_0287,2563,1235,58,107,92,159,163,165,Buyeo
province_0288,3104,601,58,109,168,65,190,187,Unknown4
province_0289,1296,625,58,111,157,159,163,165,Buyeo
province_0290,1500,753,58,112,107,159,163,165,Buyeo
province_0291,2671,1531,58,112,130,159,163,165,Buyeo
province_0292,3117,835,58,137,173,242,175,109,Persia
province_0293,3901,509,58,143,51,159,163,165,Buyeo
province_0294,2274,703,58,158,55,168,28,7,Rome
province_0295,1443,1965,58,166,72,159,163,165,Buyeo
province_0296,3793,396,58,173,106,159,163,165,Buyeo
province_0297,820,737,58,178,222,159,163,165,Buyeo
province_0298,2559,535,58,187,240,168,28,7,Rome
province_0299,2339,1106,58,190,180,159,163,165,Buyeo
province_0300,879,512,58,193,105,159,163,165,Buyeo
province_0301,4125,1434,58,194,194,159,163,165,Buyeo
province_0302,1254,617,58,204,69,159,163,165,Buyeo
province_0303,2619,1501,58,208,232,159,163,165,Buyeo
province_0304,2660,759,58,210,78,168,28,7,Rome
province_0305,3937,770,58,214,200,222,58,63,Eastern_Han_Empire
province_0306,3900,851,58,218,241,222,58,63,Eastern_Han_Empire
province_0307,3661,829,58,234,113,159,163,165,Buyeo
province_0308,3337,803,58,245,78,65,190,187,Unknown4
province_0309,2327,585,58,249,122,168,28,7,Rome
province_0310,3017,701,59,71,168,242,175,109,Persia
province_0311,3874,215,59,81,109,159,163,165,Buyeo
province_0312,1538,529,59,82,162,159,163,165,Buyeo
province_0313,3933,776,59,98,154,222,58,63,Eastern_Han_Empire
province_0314,2473,444,59,111,232,159,163,165,Buyeo
province_0315,2241,653,59,118,225,168,28,7,Rome
province_0316,902,478,59,128,180,159,163,165,Buyeo
province_0317,1247,742,59,136,119,159,163,165,Buyeo
province_0318,2710,614,59,136,168,168,28,7,Rome
province_0319,2517,438,59,154,157,159,163,165,Buyeo
province_0320,3404,616,59,154,195,222,58,63,Eastern_Han_Empire
province_0321,3797,876,59,157,138,222,58,63,Eastern_Han_Empire
province_0322,2838,1452,59,161,143,159,163,165,Buyeo
province_0323,2443,321,59,164,164,159,163,165,Buyeo
province_0324,1391,645,59,167,241,159,163,165,Buyeo
province_0325,3678,1200,59,173,141,189,216,80,Unknown40
province_0326,1571,1781,59,181,227,159,163,165,Buyeo
province_0327,279,1595,59,188,224,159,163,165,Buyeo
province_0328,2320,402,59,192,194,159,163,165,Buyeo
province_0329,2704,1110,59,197,132,159,163,165,Buyeo
province_0330,2341,1001,59,198,114,159,163,165,Buyeo
province_0331,2727,671,59,199,190,168,28,7,Rome
province_0332,3732,826,59,200,169,222,58,63,Eastern_Han_Empire
province_0333,2286,370,59,212,119,159,163,165,Buyeo
province_0334,1692,1269,59,231,248,159,163,165,Buyeo
province_0335,2912,558,59,236,196,159,163,165,Buyeo
province_0336,3482,459,59,249,55,158,211,120,Unknown29
province_0337,2444,731,59,252,160,159,163,165,Buyeo
province_0338,2973,791,60,51,105,190,85,69,Roman_Clients
province_0339,2547,569,60,59,245,168,28,7,Rome
province_0340,1568,1603,60,82,163,159,163,165,Buyeo
province_0341,3014,822,60,92,242,255,197,140,Persia_Clients
province_0342,1359,1454,60,95,102,159,163,165,Buyeo
province_0343,3208,762,60,98,114,65,190,187,Unknown4
province_0344,2249,420,60,103,209,159,163,165,Buyeo
province_0345,2926,458,60,121,80,159,163,165,Buyeo
province_0346,2330,989,60,140,189,159,163,165,Buyeo
province_0347,1581,537,60,145,83,159,163,165,Buyeo
province_0348,2646,577,60,154,97,168,28,7,Rome
province_0349,2274,1159,60,172,185,159,163,165,Buyeo
province_0350,4136,583,60,184,240,159,163,165,Buyeo
province_0351,3010,323,60,194,105,159,163,165,Buyeo
province_0352,3845,905,60,200,132,222,58,63,Eastern_Han_Empire
province_0353,1034,937,60,200,225,159,163,165,Buyeo
province_0354,2408,457,60,216,244,159,163,165,Buyeo
province_0355,1504,983,60,219,211,159,163,165,Buyeo
province_0356,1543,301,60,229,204,159,163,165,Buyeo
province_0357,1873,209,60,230,229,159,163,165,Buyeo
province_0358,3241,782,60,232,79,65,190,187,Unknown4
province_0359,2618,334,60,233,156,159,163,165,Buyeo
province_0360,2916,453,60,234,139,159,163,165,Buyeo
province_0361,2677,536,60,247,50,168,28,7,Rome
province_0362,961,624,61,54,188,159,163,165,Buyeo
province_0363,2627,528,61,64,142,159,163,165,Buyeo
province_0364,4042,1080,61,65,145,159,163,165,Buyeo
province_0365,2481,682,61,73,237,168,28,7,Rome
province_0366,2781,277,61,91,101,159,163,165,Buyeo
province_0367,1362,383,61,97,179,159,163,165,Buyeo
province_0368,2559,1321,61,98,100,159,163,165,Buyeo
province_0369,2990,300,61,110,120,159,163,165,Buyeo
province_0370,3427,834,61,112,104,73,116,129,Unknown6
province_0371,2281,715,61,113,68,168,28,7,Rome
province_0372,3897,874,61,117,136,222,58,63,Eastern_Han_Empire
province_0373,3299,733,61,126,214,65,190,187,Unknown4
province_0374,2625,1676,61,131,71,159,163,165,Buyeo
province_0375,1427,1909,61,140,80,159,163,165,Buyeo
province_0376,1610,410,61,144,95,159,163,165,Buyeo
province_0377,2593,244,61,144,212,159,163,165,Buyeo
province_0378,4001,1472,61,147,110,159,163,165,Buyeo
province_0379,2453,487,61,151,222,168,28,7,Rome
province_0380,2975,784,61,154,179,190,85,69,Roman_Clients
province_0381,2396,507,61,158,196,168,28,7,Rome
province_0382,2644,1474,61,162,248,159,163,165,Buyeo
province_0383,3761,787,61,163,56,222,58,63,Eastern_Han_Empire
province_0384,2689,1100,61,174,103,159,163,165,Buyeo
province_0385,945,413,61,178,197,159,163,165,Buyeo
province_0386,2431,473,61,179,117,168,28,7,Rome
province_0387,2484,779,61,194,105,159,163,165,Buyeo
province_0388,4791,1519,61,195,240,159,163,165,Buyeo
province_0389,3831,819,61,201,160,222,58,63,Eastern_Han_Empire
province_0390,1460,1447,61,205,60,159,163,165,Buyeo
province_0391,1368,955,61,216,56,159,163,165,Buyeo
province_0392,2581,558,61,218,223,168,28,7,Rome
province_0393,3811,1351,61,246,113,159,163,165,Buyeo
province_0394,2623,582,61,255,135,168,28,7,Rome
province_0395,3004,775,62,60,173,255,197,140,Persia_Clients
province_0396,1615,1298,62,64,153,159,163,165,Buyeo
province_0397,2440,1230,62,73,72,159,163,165,Buyeo
province_0398,3547,171,62,74,214,159,163,165,Buyeo
province_0399,2303,1087,62,77,233,159,163,165,Buyeo
province_0400,3975,591,62,79,113,156,85,61,Unknown27
province_0401,2558,502,62,84,246,159,163,165,Buyeo
province_0402,1188,478,62,90,242,159,163,165,Buyeo
province_0403,214,1319,62,93,91,159,163,165,Buyeo
province_0404,2557,656,62,97,65,168,28,7,Rome
province_0405,3361,1045,62,100,189,132,204,140,Unknown20
province_0406,1387,595,62,102,216,159,163,165,Buyeo
province_0407,889,520,62,104,204,159,163,165,Buyeo
province_0408,3956,1526,62,111,210,159,163,165,Buyeo
province_0409,2759,1241,62,117,232,159,163,165,Buyeo
province_0410,3344,895,62,119,85,125,125,195,Unknown14
province_0411,1472,1665,62,133,188,159,163,165,Buyeo
province_0412,2681,1336,62,144,149,159,163,165,Buyeo
province_0413,2801,1170,62,150,181,159,163,165,Buyeo
province_0414,3386,772,62,153,208,159,163,165,Buyeo
province_0415,3909,396,62,158,142,159,163,165,Buyeo
province_0416,4140,628,62,161,188,159,163,165,Buyeo
province_0417,1582,1525,62,169,239,159,163,165,Buyeo
province_0418,2245,622,62,174,152,168,28,7,Rome
province_0419,2756,1503,62,175,151,159,163,165,Buyeo
province_0420,3723,848,62,179,99,159,163,165,Buyeo
province_0421,4026,1064,62,180,142,159,163,165,Buyeo
province_0422,1308,707,62,187,147,159,163,165,Buyeo
province_0423,2406,494,62,197,166,168,28,7,Rome
province_0424,3911,305,62,210,231,159,163,165,Buyeo
province_0425,2535,1586,62,222,143,159,163,165,Buyeo
province_0426,4062,735,62,225,164,255,255,0,Japan
province_0427,3103,420,62,238,170,159,163,165,Buyeo
province_0428,2886,1122,63,54,219,159,163,165,Buyeo
province_0429,1146,627,63,56,74,159,163,165,Buyeo
province_0430,3395,745,63,58,121,159,163,165,Buyeo
province_0431,3514,688,63,77,158,159,163,165,Buyeo
province_0432,2595,1782,63,78,146,159,163,165,Buyeo
province_0433,2829,742,63,79,192,168,28,7,Rome
province_0434,3699,1256,63,83,227,159,163,165,Buyeo
province_0435,2436,539,63,85,223,168,28,7,Rome
province_0436,2964,778,63,93,80,190,85,69,Roman_Clients
province_0437,2809,780,63,104,163,168,28,7,Rome
province_0438,1321,675,63,110,145,159,163,165,Buyeo
province_0439,1200,656,63,121,87,159,163,165,Buyeo
province_0440,1621,1725,63,126,157,159,163,165,Buyeo
province_0441,2429,454,63,127,60,168,28,7,Rome
province_0442,960,964,63,127,201,159,163,165,Buyeo
province_0443,1254,719,63,130,250,159,163,165,Buyeo
province_0444,1042,817,63,150,158,159,163,165,Buyeo
province_0445,2312,710,63,160,174,168,28,7,Rome
province_0446,4183,552,63,162,211,159,163,165,Buyeo
province_0447,2558,463,63,164,246,159,163,165,Buyeo
province_0448,3663,982,63,165,162,159,163,165,Buyeo
province_0449,3432,856,63,173,219,252,162,98,Unknown56
province_0450,1028,683,63,175,136,159,163,165,Buyeo
province_0451,1378,641,63,178,255,159,163,165,Buyeo
province_0452,1127,599,63,179,105,159,163,165,Buyeo
province_0453,3800,675,63,189,139,222,58,63,Eastern_Han_Empire
province_0454,2137,1062,63,190,138,159,163,165,Buyeo
province_0455,900,194,63,197,120,159,163,165,Buyeo
province_0456,1509,1017,63,200,65,159,163,165,Buyeo
province_0457,1304,1167,63,202,113,159,163,165,Buyeo
province_0458,2737,1655,63,233,238,159,163,165,Buyeo
province_0459,4175,1903,63,245,94,159,163,165,Buyeo
province_0460,2468,461,63,252,151,159,163,165,Buyeo
province_0461,2677,709,64,50,158,168,28,7,Rome
province_0462,2667,350,64,53,68,159,163,165,Buyeo
province_0463,2608,450,64,53,150,159,163,165,Buyeo
province_0464,880,725,64,61,242,159,163,165,Buyeo
province_0465,3029,438,64,62,85,159,163,165,Buyeo
province_0466,996,725,64,68,75,159,163,165,Buyeo
province_0467,2976,1553,64,73,254,159,163,165,Buyeo
province_0468,4310,1481,64,81,223,159,163,165,Buyeo
province_0469,2244,750,64,82,239,159,163,165,Buyeo
province_0470,2944,1009,64,89,110,43,89,104,Saba
province_0471,2220,870,64,103,69,159,163,165,Buyeo
province_0472,1456,1937,64,104,75,159,163,165,Buyeo
province_0473,3748,1168,64,120,126,193,73,85,Unknown42
province_0474,2562,487,64,132,145,159,163,165,Buyeo
province_0475,1632,221,64,134,155,159,163,165,Buyeo
province_0476,781,726,64,135,73,159,163,165,Buyeo
province_0477,3320,1061,64,136,157,159,163,165,Buyeo
province_0478,1173,753,64,136,232,159,163,165,Buyeo
province_0479,1801,1368,64,139,88,159,163,165,Buyeo
province_0480,2648,626,64,142,204,168,28,7,Rome
province_0481,2463,467,64,143,179,168,28,7,Rome
province_0482,2276,655,64,144,127,168,28,7,Rome
province_0483,3765,776,64,146,170,222,58,63,Eastern_Han_Empire
province_0484,2434,343,64,160,163,159,163,165,Buyeo
province_0485,2347,830,64,160,178,159,163,165,Buyeo
province_0486,3712,742,64,167,199,222,58,63,Eastern_Han_Empire
province_0487,1342,1170,64,169,115,159,163,165,Buyeo
province_0488,2629,644,64,183,101,168,28,7,Rome
province_0489,2902,464,64,186,108,159,163,165,Buyeo
province_0490,2472,489,64,189,117,168,28,7,Rome
province_0491,3460,941,64,207,233,216,141,84,Satavahana
